Doc_ID	Cite_ID	Contents	Label	Paper_ID	URL	Document_part	Coords
doc0171	cite0499	"Article, unsigned but obviously written by C. S. Loch, on ""The Royal Commission"", in: Charity Organisation Review, New Series, XVIII (1905), pp. 141, 142-43."		8abfe46527761b7c5862588c7df5101c7f385840	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/536EA4779184961716587EA2370854C8/S0020859000005472a.pdf/div-class-title-the-royal-commission-on-the-poor-laws-1905-09-div.pdf	FootNote	"43,56.64,516.33,453.45,10.48;43,77.88,530.37,87.54,10.48"
doc0171	cite0500	"Our Partnership, p."		8abfe46527761b7c5862588c7df5101c7f385840	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/536EA4779184961716587EA2370854C8/S0020859000005472a.pdf/div-class-title-the-royal-commission-on-the-poor-laws-1905-09-div.pdf	FootNote	"43,56.64,516.33,453.45,10.48;43,77.88,530.37,87.54,10.48"
doc0171	cite0501	"Ibid., Pt VIII, § 10, 12. 8 Beatrice Webb to Georgine Meinertzhagen, March 1911, Passfield Papers, British Library of Political and Economic Science, quoted by John Brown, ""Social Judgements and Social Policy"", in: Economic History Review, Second Series, XXIV (1971), p. 112. https://doi.org/10.1017/S0020859000005472 Published online by Cambridge University Press"		8abfe46527761b7c5862588c7df5101c7f385840	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/536EA4779184961716587EA2370854C8/S0020859000005472a.pdf/div-class-title-the-royal-commission-on-the-poor-laws-1905-09-div.pdf	FootNote	"43,56.64,516.33,453.45,10.48;43,77.88,530.37,87.54,10.48"
doc0171	cite0502	"""Solidarity Considered as a Test of Social Condition in England"", in: Charity Organisation Review, New Series, XXVI (1909), p. 263."		8abfe46527761b7c5862588c7df5101c7f385840	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/536EA4779184961716587EA2370854C8/S0020859000005472a.pdf/div-class-title-the-royal-commission-on-the-poor-laws-1905-09-div.pdf	FootNote	"43,56.64,516.33,453.45,10.48;43,77.88,530.37,87.54,10.48"
doc0001	cite0503	"Series, Vol 32, No. 194, pp 45-58."		7cf0884424012e01336f5e8c816dea051ce8636d	https://www.biodiversitylibrary.org/itempdf/102670	Raw_Reference	"158,37.26,126.63,147.97,6.66"
doc0001	cite0504	"Miche, M. 1951. ""Le Pouvoir Reflechissant des Ouvrages Maritimes Exposes a 1 'Action de la Houle"" Annals des Ponts et Chaussees . 121e Annee , pp 285-319 (translated by Lincoln and Chevron, University of California, Berkeley, Wave Research Laboratory, Series 3, Issue 363, June, 1954)."		7cf0884424012e01336f5e8c816dea051ce8636d	https://www.biodiversitylibrary.org/itempdf/102670	Raw_Reference	
doc0001	cite0505	"Michell, J. H. 1893. ""On the Highest Waves in Water,"" Philosophical Magazine . 5th Series, Vol 36, pp 430-437."		7cf0884424012e01336f5e8c816dea051ce8636d	https://www.biodiversitylibrary.org/itempdf/102670	Raw_Reference	
doc0009	cite0506	"Dawe, Kevin. 2001. ""People, Objects, Meaning: Recent Work on the Study and Collection of Musical Instruments. "" Galpin Society Journal 54:219-32."		38c3bdcada7cae74c18ec0ca5539d818d6d446c0	https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1568&context=gc_pubs	Raw_Reference	"32,66.06,181.33,317.99,7.91;32,84.06,191.08,156.19,7.91"
doc0009	cite0507	"Hill, Jude. 2007. ""Th e Story of the Amulet: Locating the Enchantment of Collections. "" Journal of Material Culture 12(1):65-87."		38c3bdcada7cae74c18ec0ca5539d818d6d446c0	https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1568&context=gc_pubs	Raw_Reference	"32,66.06,425.12,318.00,7.91;32,84.07,434.87,97.47,7.91"
doc0009	cite0508	"_zdemir, Ula_. 2008. ""Ancient Sound of Anatolia: Th e Baglama."" http://www.setar.info/index .php?view=article&id=66 (accessed April 2012)."		38c3bdcada7cae74c18ec0ca5539d818d6d446c0	https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1568&context=gc_pubs	Raw_Reference	
